Species,Clade,Subspecies,Latitude,Longitude
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.92628,-68.09429
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.92628,-68.09429
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.91431,-67.4343
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.91431,-67.4343
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.89477,-68.1259
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.89477,-68.1259
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.89477,-68.1259
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.89477,-68.1259
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.89477,-68.1259
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.89477,-68.1259
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.87563,-70.492
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.87563,-70.492
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.85746,-67.3859
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.7895,-64.7183
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.78472,-67.5406
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.78472,-67.5406
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.75,-68.5
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.65241,-70.2521
